time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-26 00:00:00+00:00,7,2,2.0,1.0
2025-04-27 00:00:00+00:00,359,26,,
2025-04-28 00:00:00+00:00,33,4,1.0,1.0
2025-04-29 00:00:00+00:00,8,4,3.0,2.0
2025-04-30 00:00:00+00:00,152,12,,
2025-05-01 00:00:00+00:00,23,3,1.0,1.0
2025-05-02 00:00:00+00:00,107,14,2.0,1.0
2025-05-03 00:00:00+00:00,136,14,,
2025-05-04 00:00:00+00:00,11,1,,
2025-05-05 00:00:00+00:00,2,1,1.0,1.0
2025-05-06 00:00:00+00:00,3,2,5.0,1.0
2025-05-07 00:00:00+00:00,3,2,,
2025-05-08 00:00:00+00:00,3,2,2.0,1.0
2025-05-09 00:00:00+00:00,2,1,1.0,1.0
