time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-17 00:00:00+00:00,7,7,0,0
2026-06-18 00:00:00+00:00,1,1,0,0
2026-06-19 00:00:00+00:00,4,2,0,0
2026-06-20 00:00:00+00:00,13,4,0,0
2026-06-21 00:00:00+00:00,42,14,16,16
2026-06-22 00:00:00+00:00,3,3,5,5
2026-06-23 00:00:00+00:00,12,11,0,0
2026-06-24 00:00:00+00:00,9,8,5,3
2026-06-25 00:00:00+00:00,6,5,2,2
2026-06-26 00:00:00+00:00,8,6,1,1
2026-06-27 00:00:00+00:00,6,4,0,0
2026-06-28 00:00:00+00:00,8,8,0,0
2026-06-29 00:00:00+00:00,1,1,1,1
2026-06-30 00:00:00+00:00,6,6,0,0
