time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-09 00:00:00+00:00,7.0,7.0,79,29
2025-12-10 00:00:00+00:00,,,54,30
2025-12-11 00:00:00+00:00,,,74,27
2025-12-12 00:00:00+00:00,2.0,1.0,28,19
2025-12-13 00:00:00+00:00,1.0,1.0,84,41
2025-12-14 00:00:00+00:00,1.0,1.0,73,35
2025-12-15 00:00:00+00:00,2.0,2.0,73,32
2025-12-16 00:00:00+00:00,1.0,1.0,57,25
2025-12-17 00:00:00+00:00,2.0,1.0,33,23
2025-12-18 00:00:00+00:00,,,49,25
2025-12-19 00:00:00+00:00,1.0,1.0,60,23
2025-12-20 00:00:00+00:00,1.0,1.0,90,38
2025-12-21 00:00:00+00:00,3.0,3.0,137,47
2025-12-22 00:00:00+00:00,1.0,1.0,75,22
