time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-15 00:00:00+00:00,2,2,28,15
2026-06-16 00:00:00+00:00,2,2,34,15
2026-06-17 00:00:00+00:00,5,4,44,17
2026-06-18 00:00:00+00:00,4,3,39,20
2026-06-19 00:00:00+00:00,24,18,28,14
2026-06-20 00:00:00+00:00,1,1,48,20
2026-06-21 00:00:00+00:00,1,1,40,20
2026-06-22 00:00:00+00:00,2,2,29,13
2026-06-23 00:00:00+00:00,3,1,47,17
2026-06-24 00:00:00+00:00,4,3,41,15
2026-06-25 00:00:00+00:00,0,0,58,25
2026-06-26 00:00:00+00:00,0,0,47,22
2026-06-27 00:00:00+00:00,1,1,42,17
2026-06-28 00:00:00+00:00,1,1,35,19
