time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-05 00:00:00+00:00,1.0,1.0,92,26
2025-05-06 00:00:00+00:00,,,54,21
2025-05-07 00:00:00+00:00,1.0,1.0,84,30
2025-05-08 00:00:00+00:00,,,73,30
2025-05-09 00:00:00+00:00,,,84,36
2025-05-10 00:00:00+00:00,3.0,3.0,93,28
2025-05-11 00:00:00+00:00,,,87,32
2025-05-12 00:00:00+00:00,1.0,1.0,66,21
2025-05-13 00:00:00+00:00,,,60,22
2025-05-14 00:00:00+00:00,,,67,27
2025-05-15 00:00:00+00:00,,,59,27
2025-05-16 00:00:00+00:00,,,50,29
2025-05-17 00:00:00+00:00,3.0,3.0,36,18
2025-05-18 00:00:00+00:00,3.0,3.0,48,16
