url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,469,283
/AnthonyMichaelTDM/DRG-Save-Editor/releases,122,95
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,88,65
/AnthonyMichaelTDM/DRG-Save-Editor/issues,26,13
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,20,18
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,10,6
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/DRG%20Save%20Editing.txt,8,6
/AnthonyMichaelTDM/DRG-Save-Editor/issues/61,7,6
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,6,5
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,4,4
