url_path,views_total,views_unique
/AnthonyMichaelTDM/DRG-Save-Editor,337,212
/AnthonyMichaelTDM/DRG-Save-Editor/releases,100,77
/AnthonyMichaelTDM/DRG-Save-Editor/releases/tag/v1.9.2,61,48
/AnthonyMichaelTDM/DRG-Save-Editor/issues,18,10
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/sshot.png,15,12
/AnthonyMichaelTDM/DRG-Save-Editor/blob/master/readme.md,6,6
/AnthonyMichaelTDM/DRG-Save-Editor/issues/107,6,6
/AnthonyMichaelTDM/DRG-Save-Editor/discussions,5,3
/AnthonyMichaelTDM/DRG-Save-Editor/tree/v1.9.2,5,2
/AnthonyMichaelTDM/DRG-Save-Editor/tree/master,4,2
